Q3,-1.90,-6.10,0.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R1,-8.30,15.50,0.00,0,CPF0201D7K68C1_0201
R17,-11.20,9.60,0.00,3K3,ERA-1AEB3401C_0201
R18,-16.50,9.50,0.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,-3.40,-13.90,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,-1.90,12.70,0.00,5K1,ERA-1AEB3401C_0201
R2,-8.30,14.20,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-3.10,-8.80,0.00,10K,CPF0201D7K68C1_0201
R2_USB,8.20,12.70,0.00,5K1,ERA-1AEB3401C_0201
R3,-3.80,8.10,180.00,0,ERA-1AEB3401C_0201
R5,15.60,-15.90,0.00,10K,ERA-1AEB3401C_0201
R7,-8.70,-11.20,0.00,10K,ERA-1AEB3401C_0201
R8,-2.40,-12.40,0.00,10K,ERA-1AEB3401C_0201
R9,-5.20,12.50,0.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,16.70,-12.60,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-7.40,-16.70,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-5.20,-15.50,0.00,Open,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-10.90,-13.28,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.10,-13.33,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,11.10,-13.33,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-16.60,11.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-12.40,11.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-19.80,11.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-19.10,14.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
